Search Value, Linear Search, Binary Search, Fibonacci Search, Notes
1, 0m0.004s, 0m0.003s, 0m0.004s,
4, 0m0.003s, 0m0.004s, 0m0.003s,
22, 0m0.004s, 0m0.003s, 0m0.004s,
37, 0m0.004s, 0m0.004s, 0m0.004s,
22906, 0m0.004s, 0m0.003s, 0m0.004s,
53757, 0m0.003s, 0m0.004s, 0m0.004s,
112591, 0m0.004s, 0m0.003s, 0m0.004s,
361940, 0m0.003s, 0m0.004s, 0m0.004s,
475713, 0m0.004s, 0m0.005s, 0m0.004s,
893766, 0m0.004s, 0m0.003s, 0m0.004s,
996637, 0m0.004s, 0m0.004s, 0m0.003s,
996639, 0m0.004s, 0m0.004s, 0m0.003s,
996652, 0m0.004s, 0m0.004s, 0m0.004s,
-996652, 0m0.003s, 0m0.003s, 0m0.004s,
